R,Rc,r1,r1c,r2,r2c,c1,c1c,c2,c2c,t,T,p,y,class,m,am,l,s
C#CC1=CC=CC=C1,0.5,CO,5,O,1,O=S(C1=CC=CC([P]([Au+]C2=C(F)C(F)=C(F)C(F)=C2F)(C3=CC=CC=C3)C4=CC=CC=C4)=C1)([O-])=O.[Na+],2,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,77,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,FC1=C(F)C([Au+][P](C2=CC(S(=O)([O-])=O)=CC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC=C4)=C(F)C(F)=C1F.[Na+].[Na+],2,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,80,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,FC1=C(F)C([Au+2][P](C2=CC(S(=O)([O-])=O)=CC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4)=C(F)C(F)=C1F.[Na+].[Na+].[Na+],2,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,100,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,FC1=C(F)C([Au+2][P](C2=CC(S(=O)([O-])=O)=CC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4)=C(F)C(F)=C1F.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,100,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,FC1=C(F)C([Au+2][P](C2=CC(S(=O)([O-])=O)=CC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4)=C(F)C(F)=C1F.[Na+].[Na+].[Na+],0.5,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,77,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,FC1=C(F)C([Au+2][P](C2=CC(S(=O)([O-])=O)=CC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4)=C(F)C(F)=C1F.[Na+].[Na+].[Na+],0.1,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,2,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,O=S([O-][Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3)(C(F)(F)F)=O.[Na+].[Na+].[Na+],0.1,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,64,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,O=S([O-][Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3)(C)=O.[Na+].[Na+].[Na+],0.1,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,58,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CCCCC#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],1,Cl,10,0.5,70,CC(C1=CC=CC=C1)=O,0,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CCCCC#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],1,CC(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,0,m,1,0,0,0
